1	5	4850	3255	440	268	160	727	13
2	5	1394	805	145	101	68	275	12
3	2	12853	7079	1437	1166	686	2485	13
4	3	2800	1962	416	137	68	217	11
5	4	428	231	45	35	30	87	11
6	1	594	315	72	43	29	135	11
7	4	123012	85208	18370	8604	3463	7367	15
8	4	660	361	82	57	34	126	11
9	4	713	439	59	59	44	112	11
10	1	25213	16700	3243	1852	891	2527	13
11	4	494	314	45	33	19	83	11
12	3	6206	3872	1060	466	180	628	12
13	6	6136	4565	648	346	156	421	11
14	2	686	425	64	68	36	93	11
15	4	448	227	42	49	25	105	11
16	4	382	220	48	32	24	58	11
17	4	368	211	29	37	19	72	11
18	4	1103	641	139	107	88	128	11
19	4	1463	840	138	127	90	268	11
20	4	407	262	44	29	18	54	11
21	1	494	233	84	53	32	92	11
22	4	329	188	36	32	19	54	11
23	1	869	538	93	45	42	151	11
24	2	196	116	17	12	15	36	11
25	1	480	316	56	38	16	54	11
26	3	29490	17621	7817	3280	407	365	11
27	4	2388	1385	402	268	73	260	11
28	1	230	147	26	25	8	24	11
29	4	1066	608	154	80	46	178	11
30	4	203	63	34	47	25	34	11
31	1	9411	5246	1761	1031	502	871	11
32	1	552	340	78	57	16	61	11
33	3	12952	8980	2229	790	330	623	12
34	3	154175	98984	29857	12755	3599	8980	15
35	2	258	97	39	34	26	62	11
36	3	84262	60453	12926	5042	2012	3829	14
37	1	1841	1263	148	91	60	279	11
38	4	2443	1662	234	138	73	336	12
39	1	912	433	119	109	68	183	11
40	1	286	161	37	24	16	48	11
41	4	1331	673	368	163	53	74	11
42	4	1601	892	230	185	67	227	12
43	4	699	420	145	78	21	35	11
44	4	662	414	91	69	21	67	11
45	4	481	256	121	56	15	33	11
46	4	1608	984	381	168	31	44	11
47	4	1380	703	311	166	70	130	11
48	4	263	168	41	26	10	18	11
49	4	281	188	48	29	6	10	11
50	4	9679	3426	884	1233	1031	3105	13
51	4	4840	2141	549	588	461	1101	12
52	4	3183	1926	325	279	165	488	13
53	3	28291	23456	2562	984	424	865	12
54	3	18251	14166	1487	869	486	1243	12
55	1	2785	1632	663	234	84	172	11
56	1	3439	2124	644	277	116	278	11
57	4	89364	57014	12181	7931	3347	8891	13
58	5	11496	7293	1740	920	359	1184	13
59	5	4858	2880	634	419	240	685	13
60	5	1965	1088	215	146	98	418	12
61	5	2018	1074	167	151	107	519	12
62	5	2851	1568	428	269	153	433	11
63	4	1915	1064	204	162	110	375	11
64	1	304	134	17	24	16	113	11
65	2	392	236	28	34	18	76	11
66	4	2068	1091	280	199	130	368	11
67	4	4651	2600	587	463	288	713	12
68	5	2242	1156	214	179	105	588	12
69	1	188	124	26	13	5	20	11
70	5	261	141	41	21	11	47	11
71	1	576	288	73	63	26	126	11
72	4	444	237	80	25	32	70	11
73	1	1497	817	133	131	102	314	11
74	5	435	224	66	42	25	78	11
75	2	339	197	28	20	17	77	11
76	5	610	312	78	49	37	134	11
77	5	704	408	75	62	37	122	11
78	5	397	238	51	29	23	56	11
79	5	596	257	32	28	22	257	11
80	5	377	198	37	28	13	101	11
81	5	514	299	46	34	18	117	11
82	2	17717	9131	5646	1729	476	735	12
83	4	22107	14769	4597	1188	564	989	12
84	4	16016	12241	2177	472	254	872	11
85	4	284397	218699	45502	9066	3404	7726	15
86	4	7870	4280	1044	796	458	1292	12
87	1	10950	6658	2587	1239	224	242	11
88	4	2900	1998	278	223	115	286	12
89	2	378	209	56	45	23	45	11
90	1	68506	41785	9963	5644	2463	8651	14
91	1	373	193	82	47	11	40	11
92	1	3305	2234	390	217	113	351	12
93	3	307	172	48	35	17	35	11
94	4	2675	1393	142	153	90	897	12
95	3	1797	1302	228	134	44	89	11
96	5	1231	735	208	98	52	138	11
97	4	542	327	55	65	29	66	11
98	1	16048	9725	3349	1329	501	1144	12
99	1	10835	5446	1928	1257	654	1550	12
100	6	2823	2020	379	153	50	221	11
101	6	267	184	22	15	9	37	11
102	1	448	236	80	40	21	71	11
103	2	585	265	64	64	48	144	11
104	1	3095	2204	310	189	115	277	13
105	4	3276	2211	273	247	161	384	13
106	1	3938	2791	345	230	150	422	13
107	4	7449	4605	997	743	362	742	12
108	1	1989	1445	265	158	30	91	11
109	1	2817	1684	326	215	121	471	12
110	3	852	595	112	56	37	52	11
111	4	558	353	99	58	18	30	11
112	2	211	115	25	18	9	44	11
113	2	296	128	46	42	23	57	11
114	2	399	242	46	35	15	61	11
115	2	475	231	58	66	31	89	11
116	1	1254	749	155	121	78	151	11
117	1	5493	3899	902	292	101	299	12
118	1	591	384	84	73	24	26	11
119	1	7590	6274	907	198	56	155	11
120	1	56002	42754	6317	2793	986	3152	14
121	1	15816	11475	1792	894	505	1150	13
122	4	1379	879	214	111	55	120	11
123	3	380439	248992	76093	28603	8675	18076	15
124	1	471	272	91	53	20	35	11
125	4	6666	5979	417	165	33	72	11
126	4	446	310	36	36	12	52	11
127	2	507	346	82	42	12	25	11
128	2	1494	1127	139	93	36	99	11
129	3	13347	7604	2381	1348	632	1382	13
130	2	15255	9867	2250	1463	533	1142	13
131	1	3041	1921	384	197	89	450	11
132	1	1793	1082	242	175	75	219	11
133	3	44840	33704	7185	2386	549	1016	13
134	3	913	574	126	79	23	111	11
135	3	4294	2802	836	440	75	141	11
136	6	46392	30764	9714	2651	872	2391	14
137	6	11910	8712	2208	559	143	288	12
138	5	675	379	70	59	46	121	11
139	4	1064	576	259	139	40	50	11
140	4	2804	1697	664	227	77	139	11
141	2	3173	2122	602	189	88	172	11
142	1	1298	643	77	93	77	408	11
143	1	3357	2390	330	239	109	289	12
144	2	1011	623	167	101	37	83	11
145	1	1102	593	120	83	62	244	11
146	3	8458	5362	1442	809	208	637	13
147	3	26465	15553	7510	2590	335	477	12
148	4	352	189	82	37	13	31	11
149	4	627	419	61	40	18	89	11
150	4	285	154	22	38	18	53	11
151	4	812	498	67	68	41	138	11
152	4	223	131	29	16	13	34	11
153	4	281	154	25	15	11	76	11
154	4	405	270	30	34	18	53	11
155	1	15959	10823	1908	1096	505	1627	12
156	1	2393	1701	370	124	54	144	11
157	1	2011	1561	279	74	28	69	11
158	4	290	164	26	33	15	52	11
159	2	426	231	44	42	27	82	11
160	4	385	214	24	24	19	104	11
161	4	1782	1034	178	154	109	307	11
162	2	1330	855	213	114	40	108	11
163	6	416	233	38	29	28	88	11
164	4	1154	781	118	80	33	142	12
165	4	441	245	37	38	24	97	11
166	4	565	370	72	34	24	65	11
167	4	1816	956	167	187	116	390	11
168	4	505	304	55	47	32	67	11
169	1	9637	6391	1222	679	389	956	13
170	2	153	84	14	10	10	35	11
171	1	563	338	65	43	24	93	11
172	2	11203	6320	3762	965	66	90	11
173	4	409	223	57	44	34	51	11
174	4	276	166	32	23	9	46	11
175	4	701	367	51	61	37	185	11
176	3	336	248	37	23	8	20	11
177	4	1634	1180	177	91	48	138	11
178	4	2437	1591	283	201	108	254	12
179	4	887	567	68	58	51	143	11
180	4	2667	1445	273	281	167	501	12
181	4	436	236	39	37	30	94	11
182	4	994	562	136	90	62	144	11
183	4	174	113	18	16	9	18	11
184	4	298	192	39	22	10	35	11
185	4	314	203	34	22	11	44	11
186	4	138	91	10	11	2	24	11
187	4	196	135	20	12	4	25	11
188	4	276	174	27	21	17	37	11
189	4	1210	832	122	81	49	126	11
190	4	2996	2027	273	224	129	343	13
191	4	178	115	26	11	10	16	11
192	4	306	190	37	23	14	42	11
193	2	641	408	143	46	11	33	11
194	4	300	179	29	30	17	45	11
195	4	66643	46049	7051	4942	2111	6490	13
196	4	545	354	48	40	16	87	11
197	4	1312	768	156	117	67	204	12
198	4	422	256	48	39	21	58	11
199	4	1169	718	152	108	45	146	11
200	4	246	140	21	19	8	58	11
201	4	1555	851	148	167	76	313	11
202	4	843	459	101	88	42	153	11
203	6	2306	1288	304	224	141	349	11
204	4	232	124	27	19	10	52	11
205	4	343	229	37	24	14	39	11
206	4	414	309	28	26	17	34	11
207	3	6333	3507	1573	943	182	128	11
208	4	1926	1084	198	197	106	341	12
209	4	331	233	25	26	10	37	11
210	3	6837	5099	966	307	119	346	11
211	4	357	192	39	38	27	61	11
212	4	1886	1127	272	136	73	278	11
213	5	648	377	106	66	29	70	11
214	2	1202	866	176	62	31	67	11
215	4	301	194	31	22	11	43	11
216	4	358	254	29	19	12	44	11
217	4	380	273	36	17	9	45	11
218	4	849	520	88	72	36	133	11
219	5	648	368	66	38	42	134	11
220	5	8160	4524	1174	926	414	1122	13
221	5	1713	1159	216	129	55	154	11
222	6	1750	925	264	171	108	282	11
223	6	1942	1093	336	261	83	169	11
224	1	4485	2371	666	469	205	774	12
225	1	782	427	120	93	42	100	11
226	2	316	125	56	47	36	52	11
227	4	347	257	29	19	11	31	11
228	4	467	302	38	23	12	92	11
229	4	584	362	61	42	26	93	11
230	1	2397	1706	229	135	79	248	11
231	4	335	210	33	22	21	49	11
232	4	747	520	32	32	25	138	11
233	3	418	245	52	37	23	61	11
234	1	14400	12842	477	325	178	578	11
235	2	22404	9496	8304	3760	512	332	12
236	4	413	247	57	33	21	55	11
237	6	9977	7455	1080	516	221	705	12
238	6	320	174	47	37	21	41	11
239	2	237	171	31	12	6	17	11
240	2	11146	8433	1976	397	122	218	11
241	2	2887	1951	548	217	68	103	11
242	2	23363	15199	4797	1982	555	830	13
243	1	8242	4761	1127	811	372	1171	13
244	1	1926	1374	256	111	34	151	11
245	2	187	74	19	27	4	63	11
246	1	96582	54832	25377	11915	1599	2859	13
247	5	11421	7306	1106	789	420	1800	13
248	2	84	43	14	7	5	15	11
249	1	730	326	112	90	52	150	11
250	4	311	152	38	42	27	52	11
251	4	1784	846	214	241	134	349	11
252	4	1216	528	177	180	80	251	11
253	4	3742	2343	411	331	169	488	13
